dataset,primary_dataset,minp_gev,maxp_gev,depth,nfiles_total,nfiles_read,nlumis,events_tried,events_passed,events_stored,efficiency,efficiency_err,only_filter_is_cosmicInTracker,status
/CosmicToMu_Par-MinP-10-MaxP-10000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-10-MaxP-10000-MinTheta-91-MaxTheta-179_cosmuogen,10,10000,none,1037,5,480,3588480,47196,47196,0.01315209,0.00006014,yes,ok
/CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,1000,,e2,23,5,55,4064225,55179,55179,0.01357676,0.00005740,yes,ok
/CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,1000,,e3,23,5,55,4060760,54752,54752,0.01348319,0.00005723,yes,ok
/CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,1000,,e4,24,5,55,4096070,54023,54023,0.01318898,0.00005637,yes,ok
/CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,1000,,e5,25,5,421,2973992,39298,39298,0.01321389,0.00006622,yes,ok
/CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1000-MinTheta-91-MaxTheta-179_cosmuogen,1000,,none,24,5,55,3324090,54775,54775,0.01647819,0.00006982,yes,ok
/CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,10000,,e2,28,5,45,3576600,48299,48299,0.01350417,0.00006103,yes,ok
/CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,10000,,e3,26,5,50,3965900,53427,53427,0.01347160,0.00005789,yes,ok
/CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,10000,,e4,42,5,30,2692560,35929,35929,0.01334381,0.00006993,yes,ok
/CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,10000,,e5,23,5,53,3961999,52875,52875,0.01334554,0.00005765,yes,ok
/CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,10000,,e6,38,5,316,2188471,29763,29763,0.01359991,0.00007829,yes,ok
/CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-10000-MinTheta-91-MaxTheta-179_cosmuogen,10000,,none,26,5,48,3689093,50029,50029,0.01356133,0.00006022,yes,ok
/CosmicToMu_Par-MinP-1100-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1100-MinTheta-91-MaxTheta-179_cosmuogen,1100,,none,23,5,53,3151074,51881,51881,0.01646455,0.00007169,yes,ok
/CosmicToMu_Par-MinP-1200-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1200-MinTheta-91-MaxTheta-179_cosmuogen,1200,,none,23,5,55,3286910,55197,55197,0.01679298,0.00007087,yes,ok
/CosmicToMu_Par-MinP-12500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-12500-MinTheta-91-MaxTheta-179_cosmuogen,12500,,none,26,5,41,2852490,38719,38719,0.01357375,0.00006851,yes,ok
/CosmicToMu_Par-MinP-1300-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1300-MinTheta-91-MaxTheta-179_cosmuogen,1300,,none,24,5,45,2609838,43485,43485,0.01666195,0.00007923,yes,ok
/CosmicToMu_Par-MinP-1400-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1400-MinTheta-91-MaxTheta-179_cosmuogen,1400,,none,23,5,55,3263590,55019,55019,0.01685843,0.00007126,yes,ok
/CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,1500,,e2,24,5,52,3896776,52819,52819,0.01355454,0.00005858,yes,ok
/CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,1500,,e3,24,5,55,4074785,54878,54878,0.01346770,0.00005710,yes,ok
/CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,1500,,e4,23,5,55,4154150,55499,55499,0.01335989,0.00005633,yes,ok
/CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,1500,,e5,25,5,515,3930480,52307,52307,0.01330804,0.00005780,yes,ok
/CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,1500,,e6,44,5,95,808830,10872,10872,0.01344164,0.00012804,yes,ok
/CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1500-MinTheta-91-MaxTheta-179_cosmuogen,1500,,none,23,5,53,3103855,52616,52616,0.01695182,0.00007327,yes,ok
/CosmicToMu_Par-MinP-15000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-15000-MinTheta-91-MaxTheta-179_cosmuogen,15000,,none,26,5,50,3672300,49645,49645,0.01351878,0.00006026,yes,ok
/CosmicToMu_Par-MinP-1600-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1600-MinTheta-91-MaxTheta-179_cosmuogen,1600,,none,24,5,55,3220855,55222,55222,0.01714514,0.00007233,yes,ok
/CosmicToMu_Par-MinP-1700-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-1700-MinTheta-91-MaxTheta-179_cosmuogen,1700,,none,24,5,45,2569535,44805,44805,0.01743701,0.00008166,yes,ok
/CosmicToMu_Par-MinP-17500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-17500-MinTheta-91-MaxTheta-179_cosmuogen,17500,,none,23,5,55,4015055,54445,54445,0.01356021,0.00005772,yes,ok
/CosmicToMu_Par-MinP-1800-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1800-MinTheta-91-MaxTheta-179_cosmuogen,1800,,none,24,5,50,2843650,49004,49004,0.01723278,0.00007717,yes,ok
/CosmicToMu_Par-MinP-1900-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-1900-MinTheta-91-MaxTheta-179_cosmuogen,1900,,none,24,5,55,3192585,55648,55648,0.01743039,0.00007324,yes,ok
/CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,2000,,e2,23,5,53,3899915,52930,52930,0.01357209,0.00005859,yes,ok
/CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,2000,,e3,18,5,70,5015360,67800,67800,0.01351847,0.00005157,yes,ok
/CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,2000,,e4,20,5,65,4650945,61900,61900,0.01330912,0.00005314,yes,ok
/CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,2000,,e5,23,5,55,4343845,57721,57721,0.01328800,0.00005494,yes,ok
/CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,2000,,e6,47,5,182,1547364,20831,20831,0.01346225,0.00009264,yes,ok
/CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2000-MinTheta-91-MaxTheta-179_cosmuogen,2000,,none,23,5,55,3173280,54998,54998,0.01733159,0.00007326,yes,ok
/CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,20000,,e2,51,5,25,1988500,26997,26997,0.01357657,0.00008207,yes,ok
/CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,20000,,e3,23,5,55,4267835,57809,57809,0.01354528,0.00005595,yes,ok
/CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,20000,,e4,29,5,39,2926053,39041,39041,0.01334255,0.00006708,yes,ok
/CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,20000,,e5,27,5,45,3708450,49544,49544,0.01335976,0.00005962,yes,ok
/CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,20000,,e6,35,5,410,3105750,42111,42111,0.01355904,0.00006562,yes,ok
/CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-20000-MinTheta-91-MaxTheta-179_cosmuogen,20000,,none,32,5,40,3158600,42939,42939,0.01359431,0.00006516,yes,ok
/CosmicToMu_Par-MinP-2100-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2100-MinTheta-91-MaxTheta-179_cosmuogen,2100,,none,24,5,55,3145175,54922,54922,0.01746230,0.00007386,yes,ok
/CosmicToMu_Par-MinP-2200-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2200-MinTheta-91-MaxTheta-179_cosmuogen,2200,,none,23,5,55,3147760,55196,55196,0.01753501,0.00007398,yes,ok
/CosmicToMu_Par-MinP-22500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-22500-MinTheta-91-MaxTheta-179_cosmuogen,22500,,none,35,5,278,2241792,30242,30242,0.01349010,0.00007705,yes,ok
/CosmicToMu_Par-MinP-2300-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2300-MinTheta-91-MaxTheta-179_cosmuogen,2300,,none,24,5,55,3121140,55126,55126,0.01766214,0.00007456,yes,ok
/CosmicToMu_Par-MinP-2400-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2400-MinTheta-91-MaxTheta-179_cosmuogen,2400,,none,24,5,55,3130765,55369,55369,0.01768545,0.00007449,yes,ok
/CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,2500,,e2,23,5,60,4266780,57522,57522,0.01348136,0.00005583,yes,ok
/CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,2500,,e3,20,5,56,3922223,52527,52527,0.01339215,0.00005804,yes,ok
/CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,2500,,e4,23,5,55,4237145,56477,56477,0.01332902,0.00005571,yes,ok
/CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,2500,,e5,23,5,55,4152005,54854,54854,0.01321145,0.00005603,yes,ok
/CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,2500,,e6,43,5,146,1178658,15807,15807,0.01341101,0.00010595,yes,ok
/CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v3/GEN-SIM-RECO,CosmicToMu_Par-MinP-2500-MinTheta-91-MaxTheta-179_cosmuogen,2500,,none,19,5,65,3825315,67640,67640,0.01768220,0.00006738,yes,ok
/CosmicToMu_Par-MinP-25000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-25000-MinTheta-91-MaxTheta-179_cosmuogen,25000,,none,41,5,30,2061960,27858,27858,0.01351045,0.00008040,yes,ok
/CosmicToMu_Par-MinP-2600-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2600-MinTheta-91-MaxTheta-179_cosmuogen,2600,,none,24,5,55,3155845,56269,56269,0.01783009,0.00007449,yes,ok
/CosmicToMu_Par-MinP-2700-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2700-MinTheta-91-MaxTheta-179_cosmuogen,2700,,none,22,5,55,3091715,55187,55187,0.01784996,0.00007530,yes,ok
/CosmicToMu_Par-MinP-27500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-27500-MinTheta-91-MaxTheta-179_cosmuogen,27500,,none,41,5,30,2160690,29322,29322,0.01357066,0.00007871,yes,ok
/CosmicToMu_Par-MinP-2800-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v3/GEN-SIM-RECO,CosmicToMu_Par-MinP-2800-MinTheta-91-MaxTheta-179_cosmuogen,2800,,none,20,5,56,3070482,54987,54987,0.01790826,0.00007568,yes,ok
/CosmicToMu_Par-MinP-2900-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-2900-MinTheta-91-MaxTheta-179_cosmuogen,2900,,none,24,5,55,3108435,55967,55967,0.01800488,0.00007542,yes,ok
/CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,3000,,e2,20,5,65,4711525,64016,64016,0.01358711,0.00005333,yes,ok
/CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,3000,,e3,24,5,55,4027430,54210,54210,0.01346020,0.00005742,yes,ok
/CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,3000,,e4,24,5,52,3953508,53081,53081,0.01342630,0.00005788,yes,ok
/CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,3000,,e5,23,5,55,4037660,53771,53771,0.01331737,0.00005705,yes,ok
/CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,3000,,e6,45,5,47,367540,5017,5017,0.01365021,0.00019140,yes,ok
/CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-3000-MinTheta-91-MaxTheta-179_cosmuogen,3000,,none,23,5,52,2930408,53037,53037,0.01809884,0.00007787,yes,ok
/CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,30000,,e2,27,5,44,3169919,42718,42718,0.01347605,0.00006476,yes,ok
/CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,30000,,e3,36,5,31,2058027,27724,27724,0.01347115,0.00008036,yes,ok
/CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,30000,,e4,40,5,29,1818196,24173,24173,0.01329505,0.00008494,yes,ok
/CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,30000,,e5,25,5,515,3343895,44288,44288,0.01324444,0.00006252,yes,ok
/CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,30000,,e6,39,5,283,1992886,27008,27008,0.01355221,0.00008190,yes,ok
/CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-30000-MinTheta-91-MaxTheta-179_cosmuogen,30000,,none,27,5,45,3134655,42558,42558,0.01357661,0.00006536,yes,ok
/CosmicToMu_Par-MinP-3250-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-3250-MinTheta-91-MaxTheta-179_cosmuogen,3250,,none,24,5,45,2469764,44689,44689,0.01809444,0.00008482,yes,ok
/CosmicToMu_Par-MinP-32500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-32500-MinTheta-91-MaxTheta-179_cosmuogen,32500,,none,37,5,39,2468349,33543,33543,0.01358925,0.00007369,yes,ok
