,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hpass,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
201,Signal_M4250GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hpass,Signal_M4250GeV_SR,DM signal,,1.05,,lnN,,
202,Signal_M4250GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hpass_RNNsyst_up,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
203,Signal_M4250GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hpass_RNNsyst_down,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
204,Signal_M4250GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hpass_pTsyst_up,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
205,Signal_M4250GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hpass_pTsyst_down,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
206,Signal_M4250GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hpass_t0syst_up,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
207,Signal_M4250GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hpass_t0syst_down,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
208,Signal_M4250GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hpass,Signal_M4250GeV_SR,DM signal,,,,,,
417,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hfail,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
618,Signal_M4250GeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hfail,Signal_M4250GeV_SR,DM signal,,1.05,,lnN,,
619,Signal_M4250GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hfail_RNNsyst_up,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
620,Signal_M4250GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hfail_RNNsyst_down,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
621,Signal_M4250GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hfail_pTsyst_up,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
622,Signal_M4250GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hfail_pTsyst_down,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
623,Signal_M4250GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hfail_t0syst_up,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
624,Signal_M4250GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hfail_t0syst_down,Signal_M4250GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
625,Signal_M4250GeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M4250GeV_SR.root,hfail,Signal_M4250GeV_SR,DM signal,,,,,,
