,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v12/EaDM_Cosmics_Data_SR.root,hpass,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
169,Signal_M2900GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hpass,Signal_M2900GeV_SR,DM signal,,1.05,,lnN,,
170,Signal_M2900GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hpass_RNNsyst_up,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
171,Signal_M2900GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hpass_RNNsyst_down,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
172,Signal_M2900GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hpass_pTsyst_up,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
173,Signal_M2900GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hpass_pTsyst_down,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
174,Signal_M2900GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hpass_t0syst_up,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
175,Signal_M2900GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hpass_t0syst_down,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
176,Signal_M2900GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hpass,Signal_M2900GeV_SR,DM signal,,,,,,
249,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v12/EaDM_Cosmics_Data_SR.root,hfail,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
418,Signal_M2900GeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hfail,Signal_M2900GeV_SR,DM signal,,1.05,,lnN,,
419,Signal_M2900GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hfail_RNNsyst_up,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
420,Signal_M2900GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hfail_RNNsyst_down,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
421,Signal_M2900GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hfail_pTsyst_up,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
422,Signal_M2900GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hfail_pTsyst_down,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
423,Signal_M2900GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hfail_t0syst_up,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
424,Signal_M2900GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hfail_t0syst_down,Signal_M2900GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
425,Signal_M2900GeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v12/EaDM_Signal_M2900GeV_SR.root,hfail,Signal_M2900GeV_SR,DM signal,,,,,,
