,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Run3_Cosmics_Data_SR.root,hpass,Run3_Cosmics_Data_SR,Run3_Cosmics_Data_SR,,,,,,
177,Signal_M3500GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hpass,Signal_M3500GeV_SR,DM signal,,1.05,,lnN,,
178,Signal_M3500GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hpass_RNNsyst_up,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
179,Signal_M3500GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hpass_RNNsyst_down,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
180,Signal_M3500GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hpass_pTsyst_up,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
181,Signal_M3500GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hpass_pTsyst_down,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
182,Signal_M3500GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hpass_t0syst_up,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
183,Signal_M3500GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hpass_t0syst_down,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
184,Signal_M3500GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hpass,Signal_M3500GeV_SR,DM signal,,,,,,
401,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Run3_Cosmics_Data_SR.root,hfail,Run3_Cosmics_Data_SR,Run3_Cosmics_Data_SR,,,,,,
578,Signal_M3500GeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hfail,Signal_M3500GeV_SR,DM signal,,1.05,,lnN,,
579,Signal_M3500GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hfail_RNNsyst_up,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
580,Signal_M3500GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hfail_RNNsyst_down,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
581,Signal_M3500GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hfail_pTsyst_up,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
582,Signal_M3500GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hfail_pTsyst_down,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
583,Signal_M3500GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hfail_t0syst_up,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
584,Signal_M3500GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hfail_t0syst_down,Signal_M3500GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
585,Signal_M3500GeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Signal_M3500GeV_SR.root,hfail,Signal_M3500GeV_SR,DM signal,,,,,,
