,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hpass,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
81,Signal_M2000GeV_e4_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hpass,Signal_M2000GeV_e4_SR,DM signal,,1.05,,lnN,,
82,Signal_M2000GeV_e4_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hpass_RNNsyst_up,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Up,RNNsyst
83,Signal_M2000GeV_e4_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hpass_RNNsyst_down,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Down,RNNsyst
84,Signal_M2000GeV_e4_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hpass_pTsyst_up,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Up,pTsyst
85,Signal_M2000GeV_e4_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hpass_pTsyst_down,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Down,pTsyst
86,Signal_M2000GeV_e4_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hpass_t0syst_up,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Up,t0syst
87,Signal_M2000GeV_e4_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hpass_t0syst_down,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Down,t0syst
88,Signal_M2000GeV_e4_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hpass,Signal_M2000GeV_e4_SR,DM signal,,,,,,
329,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hfail,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
410,Signal_M2000GeV_e4_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hfail,Signal_M2000GeV_e4_SR,DM signal,,1.05,,lnN,,
411,Signal_M2000GeV_e4_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hfail_RNNsyst_up,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Up,RNNsyst
412,Signal_M2000GeV_e4_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hfail_RNNsyst_down,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Down,RNNsyst
413,Signal_M2000GeV_e4_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hfail_pTsyst_up,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Up,pTsyst
414,Signal_M2000GeV_e4_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hfail_pTsyst_down,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Down,pTsyst
415,Signal_M2000GeV_e4_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hfail_t0syst_up,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Up,t0syst
416,Signal_M2000GeV_e4_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hfail_t0syst_down,Signal_M2000GeV_e4_SR,DM signal,,,1.0,shapes,Down,t0syst
417,Signal_M2000GeV_e4_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M2000GeV_e4_SR.root,hfail,Signal_M2000GeV_e4_SR,DM signal,,,,,,
