,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hpass,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
273,Signal_M80000GeV_e4_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hpass,Signal_M80000GeV_e4_SR,DM signal,,1.05,,lnN,,
274,Signal_M80000GeV_e4_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hpass_RNNsyst_up,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Up,RNNsyst
275,Signal_M80000GeV_e4_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hpass_RNNsyst_down,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Down,RNNsyst
276,Signal_M80000GeV_e4_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hpass_pTsyst_up,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Up,pTsyst
277,Signal_M80000GeV_e4_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hpass_pTsyst_down,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Down,pTsyst
278,Signal_M80000GeV_e4_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hpass_t0syst_up,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Up,t0syst
279,Signal_M80000GeV_e4_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hpass_t0syst_down,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Down,t0syst
280,Signal_M80000GeV_e4_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hpass,Signal_M80000GeV_e4_SR,DM signal,,,,,,
337,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hfail,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
610,Signal_M80000GeV_e4_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hfail,Signal_M80000GeV_e4_SR,DM signal,,1.05,,lnN,,
611,Signal_M80000GeV_e4_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hfail_RNNsyst_up,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Up,RNNsyst
612,Signal_M80000GeV_e4_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hfail_RNNsyst_down,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Down,RNNsyst
613,Signal_M80000GeV_e4_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hfail_pTsyst_up,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Up,pTsyst
614,Signal_M80000GeV_e4_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hfail_pTsyst_down,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Down,pTsyst
615,Signal_M80000GeV_e4_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hfail_t0syst_up,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Up,t0syst
616,Signal_M80000GeV_e4_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hfail_t0syst_down,Signal_M80000GeV_e4_SR,DM signal,,,1.0,shapes,Down,t0syst
617,Signal_M80000GeV_e4_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M80000GeV_e4_SR.root,hfail,Signal_M80000GeV_e4_SR,DM signal,,,,,,
