,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Run3_Cosmics_Data_SR.root,hpass,Run3_Cosmics_Data_SR,Run3_Cosmics_Data_SR,,,,,,
81,Signal_M40000GeV_e6_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hpass,Signal_M40000GeV_e6_SR,DM signal,,1.05,,lnN,,
82,Signal_M40000GeV_e6_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hpass_RNNsyst_up,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Up,RNNsyst
83,Signal_M40000GeV_e6_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hpass_RNNsyst_down,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Down,RNNsyst
84,Signal_M40000GeV_e6_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hpass_pTsyst_up,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Up,pTsyst
85,Signal_M40000GeV_e6_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hpass_pTsyst_down,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Down,pTsyst
86,Signal_M40000GeV_e6_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hpass_t0syst_up,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Up,t0syst
87,Signal_M40000GeV_e6_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hpass_t0syst_down,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Down,t0syst
88,Signal_M40000GeV_e6_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hpass,Signal_M40000GeV_e6_SR,DM signal,,,,,,
121,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Run3_Cosmics_Data_SR.root,hfail,Run3_Cosmics_Data_SR,Run3_Cosmics_Data_SR,,,,,,
202,Signal_M40000GeV_e6_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hfail,Signal_M40000GeV_e6_SR,DM signal,,1.05,,lnN,,
203,Signal_M40000GeV_e6_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hfail_RNNsyst_up,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Up,RNNsyst
204,Signal_M40000GeV_e6_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hfail_RNNsyst_down,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Down,RNNsyst
205,Signal_M40000GeV_e6_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hfail_pTsyst_up,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Up,pTsyst
206,Signal_M40000GeV_e6_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hfail_pTsyst_down,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Down,pTsyst
207,Signal_M40000GeV_e6_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hfail_t0syst_up,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Up,t0syst
208,Signal_M40000GeV_e6_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hfail_t0syst_down,Signal_M40000GeV_e6_SR,DM signal,,,1.0,shapes,Down,t0syst
209,Signal_M40000GeV_e6_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Signal_M40000GeV_e6_SR.root,hfail,Signal_M40000GeV_e6_SR,DM signal,,,,,,
