,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hpass,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
337,Signal_M47500GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hpass,Signal_M47500GeV_SR,DM signal,,1.05,,lnN,,
338,Signal_M47500GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hpass_RNNsyst_up,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
339,Signal_M47500GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hpass_RNNsyst_down,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
340,Signal_M47500GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hpass_pTsyst_up,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
341,Signal_M47500GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hpass_pTsyst_down,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
342,Signal_M47500GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hpass_t0syst_up,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
343,Signal_M47500GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hpass_t0syst_down,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
344,Signal_M47500GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hpass,Signal_M47500GeV_SR,DM signal,,,,,,
417,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Cosmics_Data_SR.root,hfail,Cosmics_Data_SR,Cosmics_Data_SR,,,,,,
754,Signal_M47500GeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hfail,Signal_M47500GeV_SR,DM signal,,1.05,,lnN,,
755,Signal_M47500GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hfail_RNNsyst_up,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
756,Signal_M47500GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hfail_RNNsyst_down,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
757,Signal_M47500GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hfail_pTsyst_up,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
758,Signal_M47500GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hfail_pTsyst_down,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
759,Signal_M47500GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hfail_t0syst_up,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
760,Signal_M47500GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hfail_t0syst_down,Signal_M47500GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
761,Signal_M47500GeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v14/EaDM_Signal_M47500GeV_SR.root,hfail,Signal_M47500GeV_SR,DM signal,,,,,,
